City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Porto Novo,BJ,6.4965,2.6036,82.22,89,96,6.85,overcast clouds
171,Laguna,US,38.421,-121.4238,83.05,18,0,14.97,clear sky
172,Platanos,GR,37.6667,21.6167,69.08,75,9,5.06,clear sky
173,Puerto Madryn,AR,-42.7692,-65.0385,53.73,38,100,3.02,overcast clouds
174,Nouadhibou,MR,20.931,-17.0347,69.78,83,20,29.93,few clouds
175,Kappeln,DE,54.6612,9.9313,53.55,81,100,12.3,overcast clouds
176,Turayf,SA,31.6725,38.6637,66.45,72,0,9.22,clear sky
177,Grindavik,IS,63.8424,-22.4338,51.75,100,100,13.8,overcast clouds
178,Iroquois Falls,CA,48.7669,-80.6831,56.73,83,3,5.14,clear sky
179,Matanzas,CU,23.0411,-81.5775,78.6,85,59,6.67,broken clouds
180,Itaobim,BR,-16.5667,-41.8333,66.78,88,74,2.89,broken clouds
181,Saint-Louis,SN,16.3333,-15.0,78.75,64,51,11.07,broken clouds
182,Ingraj Bazar,IN,25.0,88.15,91.26,58,100,10.87,overcast clouds
183,Rundu,NA,-17.9333,19.7667,50.34,61,0,4.74,clear sky
184,Husavik,IS,66.0449,-17.3389,51.67,84,100,8.86,overcast clouds
185,Goure,NE,13.9835,10.2704,83.01,55,99,14.79,overcast clouds
186,Howick,ZA,-29.4779,30.2306,49.14,45,100,6.2,overcast clouds
187,Olean,US,42.0776,-78.4297,68.68,48,0,3.44,clear sky
188,Khash,IR,28.2211,61.2158,78.49,41,0,2.13,clear sky
189,Gamba,GA,-2.65,10.0,72.77,91,100,3.94,overcast clouds
190,Inzer,RU,54.2167,57.5556,51.96,93,31,1.19,scattered clouds
191,Mitsamiouli,KM,-11.3847,43.2844,76.59,70,6,4.38,clear sky
192,Urubicha,BO,-15.3833,-62.95,54.75,47,0,0.94,clear sky
193,Kikwit,CD,-5.041,18.8162,70.3,68,94,1.01,overcast clouds
194,Bratslav,UA,48.8226,28.9407,63.0,89,26,8.88,scattered clouds
195,Mvuma,ZW,-19.2792,30.5283,46.42,73,0,5.61,clear sky
196,Podosinovets,RU,60.2776,47.0659,56.34,71,98,4.34,light rain
197,Sukhobezvodnoye,RU,57.0491,44.8891,54.9,78,50,4.45,scattered clouds
198,Adrar,MR,20.5022,-10.0711,90.52,24,9,7.65,clear sky
199,Padang,ID,-0.9492,100.3543,77.05,87,100,1.92,overcast clouds
200,Arequipa,PE,-16.3989,-71.535,55.47,15,0,8.05,clear sky
201,Rawson,AR,-43.3002,-65.1023,53.15,33,100,2.89,overcast clouds
202,Rocha,UY,-34.4833,-54.3333,48.47,95,28,6.82,scattered clouds
203,Nyimba,ZM,-14.5566,30.8149,54.34,70,1,3.29,clear sky
204,Vieux-Habitants,GP,16.0589,-61.7659,74.77,76,8,11.9,clear sky
205,Venice,US,27.0998,-82.4543,84.22,78,20,5.75,few clouds
206,Marsh Harbour,BS,26.5412,-77.0636,80.98,82,11,11.03,few clouds
207,Saint Anthony,US,45.0205,-93.218,76.3,87,100,14.97,overcast clouds
208,Mapiripan,CO,2.8892,-72.1256,66.49,97,100,4.25,overcast clouds
209,Panjab,AF,34.388,67.0233,55.38,63,0,3.85,clear sky
210,Cajabamba,PE,-7.6167,-78.05,50.29,78,8,3.06,clear sky
211,Trinidad,BO,-14.8333,-64.9,56.28,51,0,1.99,clear sky
212,Ancud,CL,-41.8697,-73.8203,50.23,95,100,8.3,light rain
213,Salinopolis,BR,-0.6136,-47.3561,79.56,79,16,10.02,few clouds
214,Meulaboh,ID,4.1363,96.1285,79.84,76,68,4.0,broken clouds
215,Clonakilty,IE,51.6231,-8.8706,53.1,80,28,3.51,scattered clouds
216,Marzuq,YE,14.4,46.4667,78.31,34,100,2.77,overcast clouds
217,Alberton,CA,46.8168,-64.0654,60.93,95,100,8.99,moderate rain
218,Westport,US,41.1415,-73.3579,77.38,72,100,1.99,overcast clouds
219,Lake City,US,30.1897,-82.6393,82.78,83,0,4.61,clear sky
220,Ushtobe,KZ,45.2514,77.9838,74.8,55,67,7.65,broken clouds
221,Geraldton,AU,-28.7667,114.6,61.21,67,75,11.5,broken clouds
222,Sayyan,YE,15.1718,44.3244,64.49,20,100,4.99,overcast clouds
223,Thomaston,US,32.8882,-84.3266,89.38,78,0,0.0,clear sky
224,Ambanja,MG,-13.6833,48.45,68.86,78,12,3.83,few clouds
225,Kudahuvadhoo,MV,2.6708,72.8944,82.92,73,100,7.0,overcast clouds
226,La Romana,DO,18.4273,-68.9728,80.96,78,20,6.91,few clouds
227,Vardo,NO,70.3705,31.1107,44.58,81,100,6.91,overcast clouds
228,Lethem,GY,3.3803,-59.7968,74.16,90,100,2.37,overcast clouds
229,Niamey,NE,13.5137,2.1098,93.49,38,20,14.97,thunderstorm
230,Qaanaaq,GL,77.484,-69.3632,23.13,84,28,2.82,scattered clouds
231,Acarau,BR,-2.8856,-40.12,76.73,82,16,10.16,few clouds
232,Cunha,BR,-23.0744,-44.9597,45.9,93,3,0.76,clear sky
233,Mahebourg,MU,-20.4081,57.7,73.26,68,40,17.27,scattered clouds
234,Rock Sound,BS,24.9,-76.2,80.78,79,0,12.5,clear sky
235,Kralendijk,BQ,12.15,-68.2667,82.38,74,20,18.41,few clouds
236,Bosaso,SO,11.2842,49.1816,89.74,51,100,5.5,overcast clouds
237,Piacabucu,BR,-10.4056,-36.4344,74.71,86,10,2.82,clear sky
238,Polyarnyy,RU,69.1989,33.4478,46.11,80,51,4.47,broken clouds
239,Sonkovo,RU,57.7782,37.1571,52.0,93,66,5.12,broken clouds
240,Cayenne,GF,4.9333,-52.3333,76.08,1,100,3.44,overcast clouds
